Individual,NFKBIA,p65,ANT2,NOX2,SOD2,UCP2,MT-CYB,MT-ND1,MT-ND4,MT-RNR1,MT-RNR2,DRP1,MFN2,NFE2L2,OPA1,TFAM
2,3.1452,0.9153,9.36E-01,2.2203,8.6439,0.5159,7.11E-01,1.8049,3.8265,2.2766,1.802,2.57052,1.24295,12.52666,0.34214,2.09047
3,3.1137,1.1758,1.32E+00,1.7076,11.7037,0.2964,7.81E+00,1.4977,1.7279,2.0842,1.9894,1.34202,1.41426,14.00963,4.8644,3.00309
4,3.6466,0.948,1.25E+00,1.588,17.7713,0.89,1.11E+00,3.0372,7.4485,4.1581,3.0529,3.45666,1.192,15.90401,1.55801,3.40818
5,1.7825,0.3179,1.10E+00,1.7975,1.1086,0.6426,5.23E-01,1.3861,3.129,1.9503,1.4803,2.98739,0.47106,1.18663,0.34474,3.42678
6,1.6414,0.3313,1.24E+00,0.9835,2.2277,0.8188,6.39E-01,1.2246,2.998,1.697,1.4619,2.21204,0.79044,1.09738,0.00088,2.77998
7,1.4288,0.4279,1.42E+00,1.5237,1.7706,0.7876,9.70E+00,1.8516,1.9795,1.9092,2.3891,2.41512,0.31487,1.99954,1.92792,3.83777
8,1.3834,0.3173,1.29E+00,1.0249,2.8478,0.7943,1.10E+00,1.381,1.5274,2.0234,2.1964,1.74583,0.3625,1.41156,1.92076,2.5948
9,4.1847,1.5086,1.24E+00,1.5042,5.9734,0.6482,5.74E-01,1.467,2.4659,8.6412,1.8957,2.19476,1.1746,10.34083,0.03771,2.9527
11,3.1869,0.8023,1.45E+00,0.5354,1.7854,0.7434,1.66E+00,0.4514,0.2688,0.4651,0.6351,0.80724,0.53423,2.1112,1.78225,0.81731
19,0.8699,1.3988,1.04E+00,0.9782,1.7104,0.6242,2.92E+00,0.7368,0.4672,0.7752,0.9705,0.23121,1.26356,1.04483,0.38426,0.62593
27,0.6491,0.9803,9.77E-01,0.9569,1.4685,1.266,3.54E-01,0.7846,1.541,1.2495,0.9918,1.17813,1.40019,0.89652,3.43077,1.24666
28,0.507,1.6598,4.21E-01,0.3402,0.2711,1.0291,1.06E+00,0.3502,0.1065,0.2843,0.3792,NaN,0.531,0.30353,1.20728,0.24893
31,0.4803,0.1636,1.30E+00,0.9201,1.4451,1.4351,3.99E-01,1.3285,2.4847,1.191,0.9524,2.78197,0.20821,0.76193,2.56579,2.54013
34,1.0262,2.2521,1.27E+00,3.0165,1.7325,0.4818,4.24E+00,0.5988,0.6757,1.0358,1.4418,2.37598,1.37766,5.17764,1.9221,1.92604
35,1.2896,0.9759,1.18E+00,0.6407,1.1835,1.093,2.38E-01,0.6607,0.8998,0.6144,0.5573,0.16486,0.93876,0.96123,2.71749,0.47404
36,1.8567,3.3751,9.55E-01,0.9341,0.257,4.4157,1.76E-01,0.8411,0.3231,0.5447,0.6291,NaN,NaN,1.75991,1330.62,NaN
37,0.8506,0.9946,9.96E-01,1.6504,0.6828,1.4866,4.17E-01,1.2574,1.1939,0.6616,0.8144,0.19362,1.12667,1.06818,0.0393,1.30623
40,0.2875,1.8449,8.74E-01,1.3131,0.4066,1.3782,1.14E+00,0.4186,0.1689,0.3997,0.4534,0.15037,1.78529,0.52396,NaN,0.43658
41,1.0179,0.8443,9.75E-01,0.2625,0.9921,1.9446,7.95E-01,0.387,0.0864,0.1946,0.1958,0.57538,0.66197,0.35326,NaN,0.40999
42,1.0108,1.7295,9.99E-01,0.483,0.504,1.0201,1.27E+00,0.3342,0.1384,0.281,0.2205,NaN,0.78155,0.16778,NaN,NaN
48,0.2382,1.9881,7.49E-01,0.6205,0.4385,0.9478,6.44E-01,0.3393,0.1063,0.2744,0.4673,0.1785,0.70961,0.31985,NaN,0.33951
50,1.2356,0.4606,6.13E-01,0.277,0.2398,2.4546,1.03E-01,0.6202,0.5197,0.2069,0.1964,0.10411,0.40145,0.15505,7.08545,0.19789
53,0.6053,7.6903,2.95E+00,NaN,NaN,2.7674,NaN,0.8282,0.1539,0.1755,0.4369,NaN,NaN,NaN,NaN,NaN
56,0.2624,0.7375,4.57E-01,0.3133,0.2221,2.4193,1.53E-01,0.6553,0.4463,0.3913,0.517,0.77469,0.99789,0.19311,38.03884,0.51497
57,0.52,0.6274,1.33E+00,2.1226,0.9681,0.6444,7.88E+00,1.4615,1.6129,1.7832,2.321,5.00427,0.6466,2.54078,2.72204,2.19902
58,0.9082,0.9414,1.23E+00,2.1777,1.7593,0.6402,7.39E+00,1.6639,1.7854,2.2142,2.7453,2.58802,0.92859,2.16124,1.60738,3.00528
59,4.0202,0.4843,1.81E+00,0.3132,1.9984,1.7138,6.13E+01,15.402,15.7679,28.6476,19.6224,3.71225,0.28744,0.33047,1.75302,3.69887
60,1.3669,0.3503,9.39E-01,0.7046,0.9885,0.9966,1.20E+00,2.527,5.3417,3.448,3.1058,1.75578,0.42352,0.76042,0.00035,2.84711
61,0.1788,2.2415,3.96E-01,0.4687,0.1561,1.7088,5.07E-01,0.1319,0.0558,0.1058,0.1195,0.23874,1.25453,0.14177,NaN,0.3948
62,0.6466,7.2633,9.40E-01,1.4746,1.0928,6.9693,1.23E+00,2.9653,4.253,4.3527,4.2658,NaN,NaN,NaN,0.42227,NaN
63,0.1979,0.8163,8.47E-01,0.5588,0.3353,0.7497,1.28E-01,0.324,0.3889,0.344,0.3306,0.84703,1.24732,0.26962,2.08529,0.24201
65,0.7556,0.4474,8.63E-01,1.191,0.634,0.6243,2.64E-01,0.7906,1.1152,0.5257,0.5155,1.04938,1.16094,1.30843,0.03938,0.72864
71,3.8734,5.3677,1.65E+00,2.0539,0.7296,24.7049,425.7415,71.203,75.8399,131.4363,120.6683,NaN,NaN,NaN,NaN,NaN
72,0.1829,1.7493,8.31E-01,1.7916,0.3574,1.0377,0.2385,0.5555,0.9065,0.5191,0.5612,0.33036,1.77808,1.47748,NaN,0.53183
74,1.2548,1.1889,9.98E-01,2.4093,1.0611,0.5098,3.94E-01,1.0547,1.4962,0.9399,0.842,1.55727,2.71647,3.15954,0.00233,1.40563
76,1.7671,1.1373,1.10E+00,2.2642,2.2689,0.7323,7.21E+00,1.4691,1.7473,2.3945,2.316,1.49323,1.20266,3.38946,1.87383,1.96335
77,0.8742,0.5577,8.81E-01,2.0746,0.8602,0.7802,5.94E-01,1.0978,2.3583,1.665,1.3133,2.01191,1.0376,0.96828,0.53535,1.38175
78,1.7071,1.0014,1.03E+00,3.2704,1.0716,0.3755,7.83E+00,1.5499,1.9063,2.2369,2.087,4.92293,2.00699,1.97021,3.69962,3.23498
79,0.7723,0.5574,1.33E+00,2.2339,0.9406,0.6786,5.77E+00,1.1875,1.4293,1.6444,1.6952,2.781,0.77749,1.43043,3.76691,2.39621
80,0.6248,1.2707,8.21E-01,1.0196,0.3729,0.6689,2.27E+00,0.4017,0.3669,0.5962,0.6843,0.50208,1.24345,0.47251,0.46892,0.48726
81,1.071,9.3422,4.30E-01,0.8932,0.2392,2.1702,3.97E+00,0.8865,0.5484,1.4058,0.9843,NaN,3.09415,0.27389,NaN,0.32027
82,0.4702,6.3554,6.25E-01,0.8304,0.2311,3.3612,2.33E-01,0.9287,0.8984,6.8366,0.5763,1.23986,3.46961,0.45074,27.33593,0.40023
84,0.4484,1.7198,4.80E-01,1.3328,0.5434,1.725,2.98E-01,0.8411,0.9613,0.6048,0.5177,0.35154,1.68028,0.33431,0.00435,0.35235
85,3.1436,1.6362,1.12E+00,3.2774,6.6195,0.6211,7.42E+00,1.8068,1.8455,2.3564,2.8984,3.78331,1.18837,9.24511,4.62917,2.2359
86,5.0466,0.4903,1.32E+00,0.7467,5.9389,0.4014,6.38E-01,2.3879,2.3231,3.9301,2.5246,1.46277,0.45168,5.41157,NaN,0.4322
87,2.8992,0.332,1.50E+00,0.5341,4.5818,0.6855,7.34E-01,1.7774,2.3738,1.8595,1.6775,1.22588,0.52849,4.1519,NaN,1.35098
88,3.0334,0.5494,1.38E+00,1.1698,11.233,0.567,6.82E-01,1.6828,3.6376,2.2368,1.7859,2.17642,0.2052,7.69087,29.69405,2.27029
94,2.8328,1.4122,8.07E-01,1.3569,0.9118,0.9447,1.55E-01,0.6767,0.7165,0.293,0.4047,0.3066,1.70586,0.49464,0.00031,0.29755
95,3.774,0.6931,8.04E-01,0.9677,1.9032,0.5714,1.73E-01,0.706,0.7771,0.6488,0.6146,0.7259,1.12429,0.90165,1.68639,0.56199
96,3.5814,0.8455,1.05E+00,1.3157,2.3504,0.8431,6.86E-01,1.924,3.3079,1.931,1.7346,1.60508,1.10105,2.884,1.395,2.07763
99,0.1561,2.0127,1.03E+00,1.5112,0.3436,1.4448,1.35E+00,0.4798,0.1705,0.2784,0.3992,0.59632,1.48769,0.18346,NaN,0.55584
102,0.6016,0.822,1.00E+00,2.882,0.8465,0.3718,3.26E+00,1.2497,0.9193,0.9924,1.1138,1.96792,0.69236,1.24613,4.46414,1.72386
105,0.1844,0.7803,1.12E+00,1.2211,0.3572,0.8602,2.05E+00,0.7039,0.4374,0.8124,1.3344,0.6126,0.56352,0.49212,NaN,0.31582
106,0.2573,1.5139,1.11E+00,2.7794,0.5493,0.9409,2.42E+00,0.9478,0.6151,0.7412,0.9061,1.04202,2.29043,0.59975,3.04102,2.01759
107,0.0028,1.2204,8.28E-01,1.223,0.892,1.1114,2.35E+00,0.6435,0.4359,0.3915,0.6218,0.80989,1.81322,0.44272,0.51384,0.24602
108,0.2953,1.2287,8.23E-01,2.1388,0.6346,0.6692,2.08E+00,0.5817,0.4225,0.6376,0.6441,0.85306,1.37234,1.00163,1.74594,0.76078
110,2.279,0.3401,9.04E-01,0.9078,1.8075,0.4212,3.10E-01,0.7984,1.2459,0.8749,0.9167,0.13566,0.55851,1.48728,4.82084,0.21719
112,3.0785,1.1227,6.28E-01,0.451,1.6642,1.6809,3.83E-01,1.0571,1.5531,0.9851,0.9873,0.68087,1.1061,0.46953,14.72231,0.20311
113,0.4935,0.783,1.12E+00,1.9302,0.9932,0.2491,5.41E+00,NaN,1.1576,1.1262,1.2224,1.84645,0.99253,1.67004,2.19941,1.71262
114,0.6197,0.5979,1.35E+00,1.1146,1.1952,0.5127,4.79E+00,1.0599,1.0021,1.6358,1.0771,2.48991,0.53716,0.98408,2.51606,2.17662
115,0.5786,1.3196,9.28E-01,2.1552,0.7822,0.2866,5.44E+00,1.1559,1.2552,1.3171,1.1758,2.22377,2.12188,1.73307,0.75042,1.25655
116,0.7855,1.117,1.09E+00,2.9502,1.3213,0.5447,7.42E+00,1.7022,1.8946,1.6735,2.1484,2.39613,1.52038,3.33251,0.98497,4.21648
118,2.2064,0.4571,1.10E+00,1.9813,0.774,0.463,4.09E-01,1.1027,2.1188,1.1755,1.0551,2.03482,1.71295,1.73387,10.52469,2.13475
120,1.6618,0.7928,6.87E-01,0.9348,0.5782,0.7963,1.35E-01,0.5378,0.607,0.3198,0.5461,0.59232,0.30527,0.31578,0.09124,0.81713
121,0.5283,2.1216,1.08E+00,1.4954,0.8067,1.1858,2.63E+00,1.1602,1.0303,0.6894,0.9883,1.2684,1.93464,0.74605,0.80491,0.85926
127,3.5783,0.2258,1.42E+00,1.338,2.4905,1.0153,1.07E+00,2.5575,5.6877,3.3968,2.6928,2.34858,0.39925,3.86353,NaN,3.72612
128,8.5923,0.3263,1.76E+00,0.2371,6.0275,1.1795,1.76E+00,5.0527,7.5714,5.4203,3.5029,1.6072,0.20779,1.54304,2.37171,2.63196
133,6.4902,0.3398,1.5959,0.0586,1.4811,2.9739,2.22E-01,1.1652,0.6949,0.6666,0.7816,0.95164,2.14831,NaN,49.83338,NaN
134,3.643,4.4202,0.4803,0.519,0.8967,3.0622,1.28E-01,0.5389,0.3758,0.3867,0.2473,0.73909,1.75848,1.03861,7.59227,NaN
135,7.3338,1.7551,1.31E+00,0.4022,2.0606,3.3775,2.35E-01,1.2556,1.1086,1.054,0.8704,1.02581,3.98174,0.59169,22.75571,NaN
136,6.2318,0.8374,1.18E+00,0.3759,0.726,2.0947,1.33E-01,0.7148,0.3037,0.3231,0.3577,NaN,1.11803,NaN,23.26269,2.02627
138,0.1603,0.5376,1.28E+00,1.2168,0.6158,0.6257,2.86E+00,0.7586,0.6612,0.8336,1.2643,1.33824,0.84839,1.40426,0.94725,1.66207
143,4.6003,0.7932,8.82E-01,1.0711,0.7188,0.5564,1.77E-01,0.4253,0.5905,0.5225,0.5169,0.68204,1.83797,0.34887,0.80139,0.34957
147,0.5568,0.6025,8.81E-01,1.7893,0.3918,0.3463,2.36E-01,0.4647,1.1324,0.6701,0.6597,1.90751,1.18621,1.02109,0.00011,1.45472
148,0.669,0.3188,1.69E+00,0.2324,0.9752,3.7745,6.50E-01,2.2079,2.5245,2.4455,2.547,0.25168,0.48092,0.19495,0.00134,0.5952
149,0.9847,0.8301,9.46E-01,0.6083,0.3786,1.1142,1.86E-01,0.6208,0.7339,0.4018,0.5634,0.14616,1.01026,0.18658,1.06295,0.31252
151,0.9056,0.57,9.15E-01,0.3898,0.4688,0.9932,2.80E-01,1.1191,1.3815,0.5426,0.5995,0.29307,0.46249,0.23206,0.6189,0.33121
154,0.2385,0.6445,1.25E+00,1.6588,0.8296,0.5156,3.11E+00,0.8318,1.1159,0.9773,0.953,3.68872,1.08943,1.47002,2.87096,1.9415
155,0.3815,0.5042,9.69E-01,1.1941,0.6761,0.6626,5.31E-01,1.2141,2.4948,1.6432,1.548,1.25145,1.23953,0.80673,0.01538,1.06383
156,0.1609,1.4355,5.81E-01,1.7389,0.544,0.9338,1.59E+00,0.4082,0.2774,0.499,1.0125,0.60002,1.5804,0.46728,NaN,0.50425
158,4.8662,2.169,8.15E-01,1.1394,1.1815,0.9218,1.89E+00,0.5956,0.4162,0.617,0.703,0.20276,1.4345,1.05827,NaN,0.54504
160,2.4768,0.6914,1.29E+00,1.1406,4.6997,1.072,9.80E+00,2.2272,2.2249,2.2574,2.2957,2.29443,0.92368,3.0726,1.60413,3.58945
162,0.2138,0.9986,9.24E-01,1.0554,0.206,0.8913,2.91E+00,0.6501,0.5081,0.6131,0.772,0.67854,1.18371,0.29266,0.09834,0.82266
166,2.3049,1.5829,5.26E-01,0.6375,0.3548,1.3105,1.33E-01,0.4966,0.4599,0.2005,0.2067,0.27981,2.315,0.41581,3.17263,0.0903
168,1.244,3.8594,8.18E-01,0.5827,0.4503,2.5733,2.10E-01,0.8733,0.9462,0.6077,0.4728,NaN,NaN,NaN,23.36908,NaN
173,6.067,2.1098,1.12E+00,0.39,0.8845,1.4878,3.23E-01,2.0124,0.6777,0.5491,0.7004,NaN,1.03942,1.05373,66.57327,NaN
180,0.2717,1.0501,8.34E-01,0.5469,0.5574,0.7679,1.51E+01,0.343,0.2345,0.5708,1.1724,0.59647,0.89364,0.23732,0.86018,1.16758
181,0.3684,2.9882,1.34E+00,0.472,0.3936,2.5015,2.42E-01,1.2912,0.4475,0.6517,0.4785,NaN,2.44981,0.23085,20.56043,0.36313
